"codigounic,""COMUNA_SII"",""MANZ"",""PREDIO"",""AVALUO"",""SUP_TERR"",""ANO_CONSTR"",""SUP_CONSTR"",""UF_TRANS"",""COMUNA"",""Casas_UFPr"",""Depto_UFPr"",""IMORANCASA"",""IMORANDPTO"",""Ten_Metro"",""Ten_MetroC"""
"13101-1006-13,13101,1006,13,25344185,0,1972,67,3014,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-14,13101,1006,14,26478710,0,1972,70,1555,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-24,13101,1006,24,24209659,0,1972,64,1437,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-33,13101,1006,33,24209659,0,1972,64,1839,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-34,13101,1006,34,25344185,0,1972,67,1398,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-47,13101,1006,47,26478710,0,1972,70,1340,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-52,13101,1006,52,25344185,0,1972,67,1660,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-60,13101,1006,60,24209659,0,1972,64,1464,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-66,13101,1006,66,24209659,0,1972,64,1694,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-68,13101,1006,68,26478710,0,1972,70,1414,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-7,13101,1006,7,26478710,0,1972,70,1137,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-75,13101,1006,75,24209659,0,1972,64,1555,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-81,13101,1006,81,24209659,0,1972,64,801,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-82,13101,1006,82,24965365,0,1972,66,1438,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1006-98,13101,1006,98,26478710,0,1972,70,1544,""SANTIAGO"",14.5626631948,19.2136112865,0.0152086484424,0.126527937412,1,1"
"13101-1007-12,13101,1007,12,22774490,0,1972,67,1363,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-125,13101,1007,125,21754992,0,1972,64,782,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-15,13101,1007,15,22774490,0,1972,67,2142,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-20,13101,1007,20,21754992,0,1972,64,1413,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-20,13101,1007,20,21754992,0,1972,64,1702,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-25,13101,1007,25,23794622,0,1972,70,1603,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-26,13101,1007,26,21754992,0,1972,64,1768,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-28,13101,1007,28,23794622,0,1972,70,464,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-34,13101,1007,34,21754992,0,1972,64,1198,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-45,13101,1007,45,22774490,0,1972,67,1539,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-57,13101,1007,57,22774490,0,1972,67,1547,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-59,13101,1007,59,21754992,0,1972,64,1225,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-62,13101,1007,62,21754992,0,1972,64,436,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-7,13101,1007,7,21754992,0,1972,64,1636,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-77,13101,1007,77,21754992,0,1972,64,1050,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-78,13101,1007,78,22774490,0,1972,67,935,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-78,13101,1007,78,22774490,0,1972,67,1468,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1007-86,13101,1007,86,21754992,0,1972,64,873,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-101,13101,1008,101,23780045,0,1972,70,1517,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-101,13101,1008,101,23780045,0,1972,70,1284,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-106,13101,1008,106,22760548,0,1972,67,1744,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-111,13101,1008,111,21741683,0,1972,64,1584,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-119,13101,1008,119,23780045,0,1972,70,1402,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-121,13101,1008,121,22760548,0,1972,67,2170,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-17,13101,1008,17,23780045,0,1972,70,1662,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-21,13101,1008,21,21741683,0,1972,64,1395,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-248,13101,1008,248,19023655,0,1972,56,1412,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-30,13101,1008,30,24119244,0,1972,71,947,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-34,13101,1008,34,22760548,0,1972,67,1400,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-39,13101,1008,39,21741683,0,1972,64,979,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-46,13101,1008,46,22760548,0,1972,67,1331,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-47,13101,1008,47,23780045,0,1972,70,1772,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-55,13101,1008,55,22760548,0,1972,67,1042,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-58,13101,1008,58,22760548,0,1972,67,703,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-83,13101,1008,83,23780045,0,1972,70,714,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-84,13101,1008,84,21741683,0,1972,64,2840,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-89,13101,1008,89,23780045,0,1972,70,714,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-9,13101,1008,9,22760548,0,1972,67,1643,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-91,13101,1008,91,22760548,0,1972,67,1384,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1008-99,13101,1008,99,21741683,0,1972,64,942,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-107,13101,1009,107,22740192,0,1972,62,959,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-110,13101,1009,110,22740192,0,1972,62,429,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-112,13101,1009,112,22740192,0,1972,62,371,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-35,13101,1009,35,23106893,0,1972,63,1192,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-49,13101,1009,49,23106893,0,1972,63,1267,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-50,13101,1009,50,23106893,0,1972,63,1011,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-56,13101,1009,56,23106893,0,1972,63,1400,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-58,13101,1009,58,23106893,0,1972,63,938,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-62,13101,1009,62,23106893,0,1972,63,1406,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-67,13101,1009,67,23106893,0,1972,63,2000,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-1009-94,13101,1009,94,22740192,0,1972,62,1373,""SANTIAGO"",13.6429303769,18.521518276,0.0357050178509,0.0966393404904,1,1"
"13101-101-527,13101,101,527,15872858,0,1956,37,920,""SANTIAGO"",13.4150279447,20.8255924502,0.0743326497245,0.210916675832,1,1"
